gene,scores,logfoldchanges,pvals,pvals_adj,pct_neg,pct_pos
THBD,-0.16322178,-0.5156957,0.8703438236747356,1.0,0.002329319904202618,0.003847024213622992
HEY1,-0.1635517,1.6494182,0.8700840719724283,1.0,0.0020996686460417967,0.0036207286716451684
S100A16,-0.16363718,-0.30934066,0.8700167778114314,1.0,0.006397427905908599,0.007920343969223807
SDR42E1,-0.16364357,-2.4223175,0.8700117465101032,1.0,0.006397427905908599,0.007920343969223807
ZNF579,-0.1636947,-0.3751336,0.8699714962889195,1.0,0.006397427905908599,0.007920343969223807
NRIP3,-0.16377218,0.09768399,0.8699104926896469,1.0,0.005938125389586955,0.00746775288526816
LCTL,-0.16380574,0.4726082,0.869884079000215,1.0,0.001870017387880975,0.0033944331296673455
CATSPER2,-0.16384009,0.5799136,0.8698570365638096,1.0,0.008890784423083232,0.01040959493097986
ZNF438,-0.16387524,-1.9679686,0.8698293653910794,1.0,0.009120435681244054,0.010635890472957682
FAM161A,-0.16405816,0.045917682,0.8696853520890525,1.0,0.006397427905908599,0.007920343969223807
NDN,-0.16411728,-0.7838362,0.8696388159632544,1.0,0.001870017387880975,0.0033944331296673455
UCN,-0.16415164,-0.57717794,0.8696117749083521,1.0,0.001870017387880975,0.0033944331296673455
SEMA6C,-0.16433457,-0.8813175,0.8694677681384655,1.0,0.0016403661297201535,0.0031681375876895226
SPIN3,-0.16436173,-0.3970926,0.8694463875896484,1.0,0.0036744201305731437,0.00520479746548993
NAALADL2,-0.16438091,1.5353198,0.8694312954950079,1.0,0.0016403661297201535,0.0031681375876895226
MB21D2,-0.1643849,2.1562154,0.8694281513146109,1.0,0.0016403661297201535,0.0031681375876895226
DSEL,-0.16439208,-0.28529823,0.869422491795099,1.0,0.0039040713887339654,0.005431093007467753
LIPT2,-0.16469325,-0.06257819,0.8691854268232964,1.0,0.0034447688724123225,0.004978501923512107
PEX11G,-0.1649393,0.20146981,0.8689917591268123,1.0,0.0034447688724123225,0.004978501923512107
MC1R,-0.16517736,-0.54526645,0.8688043868231952,1.0,0.005478822873265313,0.007015161801312514
MAP1LC3B2,-0.16546814,-0.08484761,0.8685755259527086,1.0,0.011351333617663462,0.012898845892735914
GPRASP2,-0.16547213,-3.7225788,0.868572382336056,1.0,0.0009514123552376891,0.0024892509617560534
PLEKHA6,-0.16547213,-1.3900198,0.868572382336056,1.0,0.0009514123552376891,0.0024892509617560534
REPS2,-0.1654961,-1.5512947,0.8685535206797751,1.0,0.0009514123552376891,0.0024892509617560534
PTGR2,-0.16550168,1.0483248,0.8685491196374067,1.0,0.00705357435779666,0.008599230595157275
LMO1,-0.16554163,-1.5900311,0.8685176837389483,1.0,0.0009514123552376891,0.0024892509617560534
KCNC4,-0.1656375,0.07603159,0.8684422384308019,1.0,0.0029854663560906795,0.004525910839556461
ESR2,-0.16566066,-1.3738557,0.8684240059943731,1.0,0.005708474131426135,0.007241457343290337
TMEM171,-0.16576052,-0.20242429,0.8683454187072507,1.0,0.002755815097929858,0.004299615297578638
KLHL13,-0.16583082,2.2366998,0.8682900940372915,1.0,0.0029854663560906795,0.004525910839556461
